"filename", "language", "Docker", "JSON with Comments", "TypeScript", "YAML", "JavaScript", "Markdown", "Vue", "XML", "JSON", "PowerShell", "HTML", "comment", "blank", "total"
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\.VSCodeCounter\2020-08-31_16-39-16\details.md", "Markdown", 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 6, 112
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\.VSCodeCounter\2020-08-31_16-39-16\results.md", "Markdown", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 7, 39
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\.VSCodeCounter\2020-08-31_16-39-36\details.md", "Markdown", 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 6, 112
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\.VSCodeCounter\2020-08-31_16-39-36\results.md", "Markdown", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 7, 39
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\.VSCodeCounter\details.md", "Markdown", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 6, 65
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\.VSCodeCounter\results.md", "Markdown", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 7, 30
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\.github\ISSUE_TEMPLATE\bug_report.md", "Markdown", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 9, 39
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\.github\ISSUE_TEMPLATE\feature_request.md", "Markdown", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 6, 21
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\.github\workflows\build-release.yml", "YAML", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 2, 5, 46
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\CODE_OF_CONDUCT.md", "Markdown", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 20, 77
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\Dockerfile", "Docker", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 18
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\README.md", "Markdown", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 11, 74
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\itemper.code-workspace", "JSON with Comments", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\jest.config.js", "JavaScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 8, 0, 33
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 28897, 0, 0, 0, 1, 28898
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 1, 52
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\postcss.config.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 1, 3, 22
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\public\itemper-device\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 1, 6, 27
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\public\itemper-device\itemper-device.js", "JavaScript", 0, 0, 0, 0, 5813, 0, 0, 0, 0, 0, 0, 756, 1247, 7816
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\public\itemper-device\itemper-device.min.js", "JavaScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 6, 0, 8
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\publish.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
